,negative,positive,total
about,1,0,1
accelerate,1,0,1
accept,1,0,1
acceptable,1,0,1
accident,1,0,1
adillac,2,0,2
advances,1,0,1
again,1,0,1
agv,3,0,3
all,2,0,2
almost,1,0,1
alto,1,0,1
am,1,0,1
amazing,1,0,1
america,2,0,2
among,1,0,1
an,15,0,15
analysis,1,0,1
and,12,0,12
android,1,0,1
angeles,1,0,1
annarbor,1,0,1
announces,3,0,3
any,1,0,1
anyone,1,0,1
ap,1,0,1
apparatus,1,0,1
apple,1,0,1
are,8,0,8
area,2,0,2
around,1,0,1
article,1,0,1
as,4,0,4
at,12,0,12
audi,19,0,19
auto,1,0,1
autoauto,7,0,7
automaker,2,0,2
automated,36,0,36
automation,1,0,1
automobile,1,0,1
autonomous,45,0,45
awesome,3,0,3
backup,1,0,1
bay,3,0,3
be,7,0,7
becker,1,0,1
become,1,0,1
becomes,1,0,1
becoming,1,0,1
been,2,0,2
before,1,0,1
behave,2,0,2
beta,1,0,1
big,1,0,1
blind,2,0,2
blogged,1,0,1
blue,1,0,1
bluescreenofdeath,1,0,1
boarded,1,0,1
bosch,1,0,1
both,1,0,1
brings,1,0,1
building,1,0,1
business,3,0,3
but,5,0,5
buying,1,0,1
by,7,0,7
cadillac,3,0,3
california,12,0,12
call,1,0,1
camera,1,0,1
can,5,0,5
car,49,0,49
carmaker,1,0,1
cars,28,0,28
cartech,2,0,2
case,1,0,1
cbs,1,0,1
center,1,0,1
ces,8,0,8
challenges,1,0,1
charles,1,0,1
check,1,0,1
chicago,1,0,1
chief,1,0,1
chris,1,0,1
cities,1,0,1
clarify,1,0,1
class,1,0,1
closer,1,0,1
code,1,0,1
collaborative,1,0,1
come,1,0,1
commercial,1,0,1
commercialized,1,0,1
committee,2,0,2
company,2,0,2
concept,2,0,2
condition,1,0,1
condo,1,0,1
conference,2,0,2
connected,6,0,6
considering,1,0,1
construction,1,0,1
continental,1,0,1
control,2,0,2
controlled,1,0,1
controller,1,0,1
convention,1,0,1
conveyance,1,0,1
cool,2,0,2
could,3,0,3
crashes,1,0,1
current,1,0,1
data,2,0,2
date,1,0,1
define,1,0,1
defined,1,0,1
deliver,1,0,1
delivery,1,0,1
dematic,2,0,2
description,1,0,1
designee,1,0,1
detroit,1,0,1
die,1,0,1
director,1,0,1
disabled,1,0,1
distance,1,0,1
distant,1,0,1
dmv,2,0,2
do,3,0,3
doable,1,0,1
dock,3,0,3
does,2,0,2
doing,1,0,1
door,1,0,1
doubles,1,0,1
down,1,0,1
drag,2,0,2
drink,1,0,1
drive,5,0,5
driverless,9,0,9
driverlesscar,1,0,1
drivers,3,0,3
driving,16,0,16
duh,1,0,1
during,1,0,1
ed,1,0,1
effect,1,0,1
effects,1,0,1
electric,1,0,1
embrace,1,0,1
emergency,2,0,2
enabled,1,0,1
evaluation,1,0,1
even,2,0,2
eventually,1,0,1
every,1,0,1
executive,1,0,1
existing,1,0,1
expected,2,0,2
experiencebosch,1,0,1
experiment,1,0,1
failure,1,0,1
far,1,0,1
fatalities,1,0,1
fault,1,0,1
finally,1,0,1
finished,1,0,1
first,14,0,14
fl,1,0,1
florida,1,0,1
for,22,0,22
ford,3,0,3
fordtrends,1,0,1
forget,1,0,1
freeways,1,0,1
from,3,0,3
full,1,0,1
fully,3,0,3
functions,1,0,1
fusion,3,0,3
future,4,0,4
gb,1,0,1
gearing,1,0,1
generates,1,0,1
get,5,0,5
gets,8,0,8
give,2,0,2
given,3,0,3
gm,5,0,5
go,2,0,2
gods,1,0,1
goes,1,0,1
gonna,1,0,1
good,3,0,3
google,15,0,15
grand,1,0,1
great,2,0,2
green,2,0,2
groundbreaking,1,0,1
gsma,1,0,1
guided,4,0,4
hands,1,0,1
hard,1,0,1
has,2,0,2
hate,1,0,1
have,5,0,5
help,1,0,1
here,4,0,4
highway,1,0,1
hit,1,0,1
home,2,0,2
hoping,1,0,1
horizon,1,0,1
hour,2,0,2
how,3,0,3
hq,1,0,1
huge,1,0,1
human,1,0,1
hybrid,3,0,3
ibmcloud,1,0,1
ibmpulse,1,0,1
if,5,0,5
implying,1,0,1
in,29,0,29
infotainment,1,0,1
innovationmoha,1,0,1
insurance,1,0,1
intervention,1,0,1
into,1,0,1
introduces,1,0,1
invest,1,0,1
involved,1,0,1
is,17,0,17
it,12,0,12
its,3,0,3
itself,2,0,2
itswc,1,0,1
itu,2,0,2
jan,1,0,1
java,1,0,1
job,1,0,1
join,1,0,1
just,6,0,6
keep,1,0,1
keys,1,0,1
kids,1,0,1
kit,1,0,1
kits,1,0,1
know,1,0,1
la,3,0,3
lake,1,0,1
last,1,0,1
law,1,0,1
lead,1,0,1
